id;titulo;descricao;tag;id_pessoa;data_hora_inicio;data_hora_fim
01c9d5c8-27b2-4b2d-9b60-1f7f24f7a6d8;Desenvolver API;Criar endpoints da API para o projeto X;IMPORTANTE;1e07a8de-88ed-4b20-a5e2-fd2871f9d9c4;2024-01-02T09:00;2024-01-30T18:00
02fec356-f7fb-4aef-9f2a-eaef331b2a2b;Testes Unitários;Desenvolver testes unitários para validação;REVISÃO;2f158f4d-c6d1-4f0b-822d-2e2b3e6f0f44;2024-02-05T10:00;2024-02-25T17:00
03c56a41-65aa-42ec-a945-5fd21dec0538;Revisão de Código;Revisar código do módulo Y;REVISÃO;3a369e6d-b24e-4846-916e-3c4f5e9f5d55;2024-03-10T08:00;2024-03-20T20:00
04d4ee26-8cf0-11bd-b23e-10b96e4ef00d;UI/UX Design;Desenhar interfaces do usuário para o sistema Z;IMPORTANTE;1e07a8de-88ed-4b20-a5e2-fd2871f9d9c4;2024-04-12T09:00;2024-05-30T18:00
05aeb6bc-72c9-4a22-8b2b-42e3b67929d6;Documentação Técnica;Escrever documentação dos sistemas desenvolvidos;FINALIZADO;2f158f4d-c6d1-4f0b-822d-2e2b3e6f0f44;2024-05-15T08:00;2024-06-10T17:00
06f2f70a-4-8bc5-477a-83a3-e6b20b5a7644;Otimização de Performance;Melhorar performance do sistema Q;URGENTE;3a369e6d-b24e-4846-916e-3c4f5e9f5d55;2024-06-22T08:00;2024-07-12T20:00
07d946c9-5a83-434a-89b2-6c74a9c2eed9;Implementação de Segurança;Implementar medidas de segurança no projeto W;URGENTE;1e07a8de-88ed-4b20-a5e2-fd2871f9d9c4;2024-07-05T09:00;2024-08-30T18:00
08cb2f9a-0c-a487-4db4-945b-34c2aa6c9ec0;Pesquisa de Mercado;Realizar pesquisa de mercado para o produto G;EM ANDAMENTO;2f158f4d-c6d1-4f0b-822d-2e2b3e6f0f44;2024-08-14T08:00;2024-09-05T17:00
09bb60b7-2e-2ec8-4c88-8c0a-6a8a3c3d5e4d;Desenvolvimento de Chatbot;Criar um chatbot para atendimento ao cliente;EM ANDAMENTO;3a369e6d-b24e-4846-916e-3c4f5e9f5d55;2024-09-10T08:00;2024-10-25T20:00
0a1b2c3d-4-5e6f-7g8h-9i0j-1k2l3m4n5o6p;Integração de Sistemas;Integrar sistema A com sistema B;IMPORTANTE;1e07a8de-88ed-4b20-a5e2-fd2871f9d9c4;2024-10-17T09:00;2024-11-30T18:00
